Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,1.842000,1.965000,1.825000,1.903000,1.903000,0
2013-01-08,1.894000,1.930000,1.834000,1.857000,1.857000,0
2013-01-15,1.822000,1.891000,1.803000,1.843000,1.843000,0
2013-01-22,1.865000,2.006000,1.812000,1.974000,1.974000,0
2013-01-29,1.961000,2.037000,1.926000,1.973000,1.973000,0
2013-02-05,2.007000,2.020000,1.936000,1.946000,1.946000,0
2013-02-12,1.972000,2.054000,1.963000,2.007000,2.007000,0
2013-02-19,2.007000,2.052000,1.874000,1.895000,1.895000,0
2013-02-26,1.864000,1.907000,1.839000,1.877000,1.877000,0
2013-03-05,1.899000,2.086000,1.886000,2.056000,2.056000,0
2013-03-12,2.038000,2.068000,1.941000,1.956000,1.956000,0
2013-03-19,1.944000,1.972000,1.892000,1.915000,1.915000,0
2013-03-26,1.930000,1.944000,1.831000,1.840000,1.840000,0
2013-04-02,1.835000,1.868000,1.677000,1.732000,1.732000,0
2013-04-09,1.750000,1.805000,1.698000,1.702000,1.702000,0
2013-04-16,1.728000,1.734000,1.673000,1.698000,1.698000,0
2013-04-23,1.674000,1.727000,1.643000,1.668000,1.668000,0
2013-04-30,1.651000,1.776000,1.614000,1.771000,1.771000,0
2013-05-07,1.776000,1.942000,1.750000,1.923000,1.923000,0
2013-05-14,1.907000,1.975000,1.858000,1.965000,1.965000,0
2013-05-21,1.961000,2.051000,1.888000,2.011000,2.011000,0
2013-05-28,2.042000,2.211000,2.041000,2.134000,2.134000,0
2013-06-04,2.135000,2.231000,1.999000,2.215000,2.215000,0
2013-06-11,2.269000,2.269000,2.099000,2.171000,2.171000,0
2013-06-18,2.198000,2.657000,2.167000,2.548000,2.548000,0
2013-06-25,2.500000,2.608000,2.466000,2.490000,2.490000,0
2013-07-02,2.477000,2.725000,2.451000,2.645000,2.645000,0
2013-07-09,2.636000,2.691000,2.520000,2.556000,2.556000,0
2013-07-16,2.521000,2.554000,2.461000,2.488000,2.488000,0
2013-07-23,2.522000,2.634000,2.496000,2.585000,2.585000,0
2013-07-30,2.591000,2.737000,2.572000,2.640000,2.640000,0
2013-08-06,2.635000,2.665000,2.552000,2.605000,2.605000,0
2013-08-13,2.667000,2.899000,2.667000,2.884000,2.884000,0
2013-08-20,2.811000,2.920000,2.784000,2.805000,2.805000,0
2013-08-27,2.763000,2.830000,2.707000,2.749000,2.749000,0
2013-09-03,2.837000,2.984000,2.832000,2.897000,2.897000,0
2013-09-10,2.949000,2.968000,2.777000,2.874000,2.874000,0
2013-09-17,2.849000,2.898000,2.693000,2.714000,2.714000,0
2013-09-24,2.692000,2.695000,2.599000,2.615000,2.615000,0
2013-10-01,2.646000,2.658000,2.581000,2.634000,2.634000,0
2013-10-08,2.654000,2.722000,2.616000,2.691000,2.691000,0
2013-10-15,2.717000,2.757000,2.565000,2.609000,2.609000,0
2013-10-22,2.583000,2.587000,2.471000,2.512000,2.512000,0
2013-10-29,2.518000,2.629000,2.473000,2.602000,2.602000,0
2013-11-05,2.618000,2.763000,2.596000,2.751000,2.751000,0
2013-11-12,2.763000,2.781000,2.669000,2.678000,2.678000,0
2013-11-19,2.687000,2.839000,2.680000,2.741000,2.741000,0
2013-11-26,2.712000,2.810000,2.694000,2.801000,2.801000,0
2013-12-03,2.777000,2.932000,2.759000,2.857000,2.857000,0
2013-12-10,2.819000,2.888000,2.792000,2.877000,2.877000,0
2013-12-17,2.876000,2.966000,2.824000,2.929000,2.929000,0
2013-12-24,2.942000,3.019000,2.942000,2.976000,2.976000,0
2013-12-31,2.985000,3.036000,2.946000,2.961000,2.961000,0
2014-01-07,2.956000,3.010000,2.819000,2.827000,2.827000,0
2014-01-14,2.847000,2.912000,2.827000,2.827000,2.827000,0
2014-01-21,2.843000,2.860000,2.717000,2.766000,2.766000,0
2014-01-28,2.779000,2.781000,2.579000,2.581000,2.581000,0
2014-02-04,2.611000,2.726000,2.599000,2.678000,2.678000,0
2014-02-11,2.687000,2.777000,2.682000,2.746000,2.746000,0
2014-02-18,2.730000,2.781000,2.675000,2.750000,2.750000,0
2014-02-25,2.746000,2.746000,2.596000,2.607000,2.607000,0
2014-03-04,2.647000,2.821000,2.640000,2.784000,2.784000,0
2014-03-11,2.786000,2.799000,2.610000,2.699000,2.699000,0
2014-03-18,2.690000,2.793000,2.672000,2.733000,2.733000,0
2014-03-25,2.746000,2.768000,2.659000,2.723000,2.723000,0
2014-04-01,2.743000,2.808000,2.683000,2.695000,2.695000,0
2014-04-08,2.717000,2.723000,2.607000,2.639000,2.639000,0
2014-04-15,2.655000,2.728000,2.596000,2.721000,2.721000,0
2014-04-22,2.726000,2.748000,2.644000,2.677000,2.677000,0
2014-04-29,2.715000,2.731000,2.572000,2.611000,2.611000,0
2014-05-06,2.610000,2.663000,2.577000,2.656000,2.656000,0
2014-05-13,2.656000,2.658000,2.473000,2.536000,2.536000,0
2014-05-20,2.548000,2.562000,2.502000,2.536000,2.536000,0
2014-05-27,2.536000,2.554000,2.402000,2.534000,2.534000,0
2014-06-03,2.550000,2.646000,2.530000,2.613000,2.613000,0
2014-06-10,2.631000,2.655000,2.579000,2.597000,2.597000,0
