Date,Open,High,Low,Close,Adj Close,Volume
2015-03-10,144.720001,145.919998,128.000000,130.800003,130.800003,20584577
2015-03-17,128.399994,135.039993,124.879997,134.240005,134.240005,21084826
2015-03-24,135.759995,146.399994,133.679993,137.839996,137.839996,19303152
2015-03-31,135.919998,148.080002,134.320007,147.440002,147.440002,17089576
2015-04-07,145.839996,153.440002,143.039993,148.000000,148.000000,17058726
2015-04-14,149.839996,161.759995,149.119995,159.119995,159.119995,19297514
2015-04-21,158.559998,160.639999,154.080002,156.160004,156.160004,12630814
2015-04-28,156.960007,164.399994,156.160004,162.240005,162.240005,12479576
2015-05-05,166.559998,172.000000,159.759995,163.039993,163.039993,14752677
2015-05-12,163.919998,169.600006,160.399994,163.520004,163.520004,11634375
2015-05-19,159.679993,164.720001,156.639999,162.000000,162.000000,11338013
2015-05-26,158.479996,164.000000,152.720001,162.880005,162.880005,14272239
2015-06-02,164.240005,166.399994,153.839996,157.679993,157.679993,10984801
2015-06-09,161.600006,166.399994,159.520004,161.199997,161.199997,8424202
2015-06-16,161.360001,165.279999,158.880005,161.279999,161.279999,8312689
2015-06-23,160.160004,164.960007,155.919998,156.080002,156.080002,10172876
2015-06-30,157.919998,160.000000,140.639999,141.839996,141.839996,12484501
2015-07-07,140.720001,143.279999,135.600006,140.080002,140.080002,14812014
2015-07-14,138.800003,142.880005,133.520004,133.520004,133.520004,13509802
2015-07-21,134.720001,136.639999,125.120003,125.199997,125.199997,15486576
2015-07-28,126.080002,131.600006,119.839996,120.800003,120.800003,16247802
2015-08-04,121.680000,124.160004,115.839996,119.120003,119.120003,13171226
2015-08-11,115.839996,116.639999,110.879997,111.120003,111.120003,12952676
2015-08-18,111.440002,113.680000,98.959999,99.919998,99.919998,20452401
2015-08-25,104.160004,129.199997,100.959999,127.120003,127.120003,34698126
2015-09-01,123.839996,126.800003,113.279999,120.639999,120.639999,23036026
2015-09-08,119.279999,121.599998,114.000000,115.120003,115.120003,14250915
2015-09-15,115.839996,124.320000,114.800003,120.400002,120.400002,17725014
2015-09-22,118.160004,121.919998,113.919998,115.040001,115.040001,16824326
2015-09-29,116.080002,121.599998,113.680000,120.000000,120.000000,15331539
2015-10-06,120.879997,129.600006,120.639999,122.480003,122.480003,21722201
2015-10-13,121.440002,124.959999,117.040001,118.639999,118.639999,16142126
2015-10-20,118.400002,119.919998,112.000000,112.080002,112.080002,13920901
2015-10-27,109.680000,120.160004,108.879997,118.000000,118.000000,16589052
2015-11-03,120.320000,123.599998,111.599998,112.639999,112.639999,16614964
2015-11-10,112.000000,114.320000,102.480003,107.120003,107.120003,18247501
2015-11-17,105.360001,106.239998,102.559998,104.160004,104.160004,17126525
2015-11-24,106.800003,108.000000,103.199997,103.440002,103.440002,10682125
2015-12-01,103.360001,104.879997,93.199997,93.760002,93.760002,25426351
2015-12-08,92.160004,96.480003,86.320000,89.279999,89.279999,24474977
2015-12-15,90.639999,93.199997,84.160004,85.279999,85.279999,20748614
2015-12-22,85.440002,90.800003,85.279999,87.440002,87.440002,12603676
2015-12-29,89.279999,91.360001,86.559998,87.839996,87.839996,14372576
2016-01-05,86.400002,86.959999,73.599998,74.000000,74.000000,35528401
2016-01-12,75.440002,75.839996,69.120003,70.320000,70.320000,42886152
2016-01-19,70.000000,74.320000,63.360001,68.320000,68.320000,43598850
2016-01-26,70.480003,79.040001,69.919998,72.160004,72.160004,35640639
2016-02-02,69.760002,77.199997,68.160004,69.120003,69.120003,29351864
2016-02-09,68.080002,69.360001,61.360001,66.639999,66.639999,35736638
2016-02-16,67.919998,72.559998,65.440002,71.279999,71.279999,33268526
2016-02-23,70.080002,73.279999,65.120003,72.000000,72.000000,32440951
2016-03-01,71.839996,81.199997,71.120003,80.879997,80.879997,30944776
2016-03-08,80.320000,82.320000,77.199997,79.040001,79.040001,23529514
2016-03-15,77.839996,86.400002,76.720001,84.720001,84.720001,23596052
2016-03-22,83.279999,85.120003,77.919998,80.080002,80.080002,18288251
2016-03-29,77.680000,81.040001,72.400002,72.639999,72.639999,22951851
2016-04-05,72.559998,82.720001,71.919998,82.239998,82.239998,24099276
2016-04-12,82.959999,85.919998,78.320000,81.360001,81.360001,25666839
2016-04-19,82.000000,87.440002,81.599998,84.400002,84.400002,19882626
2016-04-26,85.279999,92.000000,84.959999,88.400002,88.400002,17307939
2016-05-03,86.879997,89.919998,85.040001,85.440002,85.440002,16995901
2016-05-10,86.000000,94.320000,85.760002,94.080002,94.080002,14535388
2016-05-17,94.000000,96.000000,91.519997,93.279999,93.279999,13642502
2016-05-24,93.360001,96.959999,93.279999,95.839996,95.839996,9727977
2016-05-31,95.839996,97.040001,92.480003,96.320000,96.320000,13423252
2016-06-07,96.800003,99.599998,93.599998,94.080002,94.080002,12745127
